Transaction Details,,,
Date Transaction Description,Debit,Credit,Balance $
19 DEC EFTPOS PURCHASE 19DEC 18:02,20.00,,"47,287.90"
Transaction Details continued,,,
Date Transaction Description,Debit,Credit,Balance $
SUB TOTAL CARRIED FORWARD FROM PREVIOUS PAGE,,,"47,287.90"
19 DEC JACKSON DEARING,,1.00,"47,288.90"
Opening transfer,,,
19 DEC JACKSON DEARING,,2.00,"47,290.90"
First deposit,,,
19 DEC CEA RESEARCH & D,,"1,706.02","48,996.92"
JD1,,,
20 DEC EFTPOS PURCHASE 20DEC 20:57,58.85,,"48,938.07"
COLES 4787 CANBERRA AU,,,
20 DEC EFTPOS PURCHASE 20DEC 21:02,31.00,,"48,907.07"
LIQUORLAND 2433 CANBERRA AU,,,
20 DEC EFTPOS PURCHASE 20DEC 21:05,3.00,,"48,904.07"
COLES 4787 CANBERRA AU,,,
20 DEC EFTPOS PURCHASE 20DEC 21:11,7.50,,"48,896.57"
BIG W 0122 CANBERRA CIT ACTAU,,,
21 DEC EFTPOS PURCHASE 21DEC 19:36,30.00,,"48,866.57"
GEMA CATERING ATO \SILVERWATER AU,,,
22 DEC EFTPOS PURCHASE 22DEC 12:39,3.50,,"48,863.07"
KNEAD PATISSERIE PTY CAMPBELL AU,,,
22 DEC VISA PURCHASE 21/12/18,4.54,,"48,858.53"
OLA RIDE PAYMENT Melbourne,,,
EFFECTIVE DATE 21DEC,,,
24 DEC EFTPOS PURCHASE 24DEC 08:21,4.20,,"48,854.33"
Relay (CBR101) Pialligo ACTAU,,,
24 DEC EFTPOS PURCHASE 23DEC 09:19,0.30,,"48,854.03"
OFFICEWORKS 0262 BRADDON AU,,,
24 DEC EFTPOS PURCHASE 23DEC 09:37,8.70,,"48,845.33"
OFFICEWORKS 0262 BRADDON AU,,,
24 DEC EFTPOS PURCHASE 23DEC 09:43,0.80,,"48,844.53"
OFFICEWORKS 0262 BRADDON AU,,,
24 DEC EFTPOS PURCHASE 23DEC 10:58,32.00,,"48,812.53"
ROSO CC PTY LTD CANBERRA AU,,,
24 DEC EFTPOS PURCHASE 23DEC 11:16,49.99,,"48,762.54"
COLES 4787 CANBERRA AU,,,
24 DEC EFTPOS PURCHASE 24DEC 14:13,30.30,,"48,732.24"
KMART 1021 WEST LAKES AU,,,
24 DEC ATM WITHDRAWAL 24DEC 14:18,400.00,,"48,332.24"
BANKSA WEST LAKES 5 AU,,,
24 DEC EFTPOS PURCHASE 24DEC 14:49,6.00,,"48,326.24"
TARGET 5394 WEST LAKES AU,,,
24 DEC EFTPOS PURCHASE 23DEC 18:46,38.00,,"48,288.24"
Transaction Details continued,,,
Date Transaction Description,Debit,Credit,Balance $
SUB TOTAL CARRIED FORWARD FROM PREVIOUS PAGE,,,"48,288.24"
24 DEC VISA PURCHASE 21/12/18,2.49,,"48,285.75"
PAYPAL *GOOGLE GOOGL 402935773,,,
EFFECTIVE DATE 22DEC,,,
24 DEC VISA PURCHASE 21/12/18,14.22,,"48,271.53"
OLA RIDE PAYMENT Melbourne,,,
EFFECTIVE DATE 22DEC,,,
24 DEC VISA PURCHASE 21/12/18,14.29,,"48,257.24"
PAYPAL *ADOBESYSTEM 402935773,,,
EFFECTIVE DATE 22DEC,,,
27 DEC INTERNET WITHDRAWAL 25DEC 08:41,2.00,,"48,255.24"
TO 805-050 102394008,,,
27 DEC INTERNET WITHDRAWAL 25DEC 08:42,1.00,,"48,254.24"
TO 805-050 102394010,,,
27 DEC KYLE EARL,,401.00,"48,655.24"
KYLE EARL,,,
27 DEC VISA PURCHASE 23/12/18,14.21,,"48,641.03"
OLA RIDE PAYMENT Melbourne,,,
EFFECTIVE DATE 24DEC,,,
28 DEC VISA PURCHASE 24/12/18,36.15,,"48,604.88"
VODAFONE NORTH SYD,,,
EFFECTIVE DATE 27DEC,,,
29 DEC INTERNET WITHDRAWAL 29DEC 08:43,300.00,,"48,304.88"
TO 805-050 102394008,,,
29 DEC EFTPOS PURCHASE 29DEC 13:54,3.50,,"48,301.38"
JAMAICA BLUE WESTLAKES SA AU,,,
29 DEC EFTPOS PURCHASE 29DEC 21:02,13.50,,"48,287.88"
READING WESTLAKES \WEST LAKES AU,,,
31 DEC CTRLINK YTH ALL,,298.20,"48,586.08"
7E1A5176503632098A,,,
31 DEC EFTPOS PURCHASE 31DEC 14:13,4.00,,"48,582.08"
Muffin Break W Lakes West Lakes SA AU,,,
31 DEC EFTPOS PURCHASE 30DEC 14:26,20.00,,"48,562.08"
KMART 1021 WEST LAKES AU,,,
31 DEC ATM WITHDRAWAL 31DEC 14:55,200.00,,"48,362.08"
Transaction Details continued,,,
Date Transaction Description,Debit,Credit,Balance $
SUB TOTAL CARRIED FORWARD FROM PREVIOUS PAGE,,,988.04
04 JAN INTERNET WITHDRAWAL 03JAN 23:04,938.04,,50.00
TO 805-050 102394010,,,
08 JAN VISA PURCHASE 05/01/19,5.99,,44.01
PAYPAL *SPOTIFY 353143690,,,
EFFECTIVE DATE 07JAN,,,
09 JAN VISA PURCHASE 07/01/19,18.54,,25.47
OLA RIDE PAYMENT Melbourne,,,
EFFECTIVE DATE 08JAN,,,
12 JAN VISA PURCHASE 10/01/19,3.22,,22.25
AMAZON MKTPLC AU SYDNEY SO,,,
EFFECTIVE DATE 11JAN,,,
15 JAN VISA PURCHASE 13/01/19,8.40,,13.85
OLA RIDE PAYMENT Melbourne,,,
EFFECTIVE DATE 14JAN,,,
16 JAN CEA RESEARCH & D,,"1,451.97","1,465.82"
JD1,,,
18 JAN INTERNET WITHDRAWAL 18JAN 11:14,200.00,,"1,265.82"
TO 805-050 102394008,,,
18 JAN INTERNET WITHDRAWAL 18JAN 11:15,"1,086.52",,179.30
TO 805-050 102394010,,,
19 JAN VISA PURCHASE 18/01/19,7.50,,171.80
DBS*Anytime Fitness Fyshwick,,,
EFFECTIVE DATE 18JAN,,,
19 JAN VISA PURCHASE 18/01/19,71.80,,100.00
DBS*Anytime Fitness Fyshwick,,,
EFFECTIVE DATE 18JAN,,,
22 JAN VISA CREDIT 20/01/19,,1.00,101.00
PAYPAL *GOOGLE YOUTU 402935773,,,
EFFECTIVE DATE 21JAN,,,
22 JAN VISA PURCHASE 20/01/19,1.00,,100.00
PAYPAL *GOOGLE YOUTU 402935773,,,
EFFECTIVE DATE 21JAN,,,
23 JAN VISA PURCHASE 21/01/19,2.49,,97.51
PAYPAL *GOOGLE GOOGL 402935773,,,
EFFECTIVE DATE 22JAN,,,
23 JAN VISA PURCHASE 20/01/19,14.29,,83.22
PAYPAL *ADOBESYSTEM 402935773,,,
EFFECTIVE DATE 22JAN,,,
26 JAN VISA PURCHASE 24/01/19,36.15,,47.07
VODAFONE NORTH SYD,,,
EFFECTIVE DATE 25JAN,,,
29 JAN VISA PURCHASE 25/01/19,16.89,,30.18
Transaction Details continued,,,
Date Transaction Description,Debit,Credit,Balance $
SUB TOTAL CARRIED FORWARD FROM PREVIOUS PAGE,,,30.18
29 JAN VISA PURCHASE 26/01/19,25.53,,4.65
OLA RIDE PAYMENT Melbourne,,,
EFFECTIVE DATE 26JAN,,,
30 JAN CEA RESEARCH & D,,"1,689.95","1,694.60"
JD1,,,
02 FEB INTERNET WITHDRAWAL 02FEB 00:25,100.00,,"1,594.60"
Spending,,,
02 FEB INTERNET WITHDRAWAL 02FEB 00:25,"1,458.70",,135.90
TO 805-050 102394010,,,
02 FEB VISA PURCHASE 01/02/19,35.90,,100.00
DBS*Anytime Fitness Fyshwick,,,
EFFECTIVE DATE 01FEB,,,
05 FEB VISA PURCHASE 02/02/19,45.40,,54.60
OLA RIDE PAYMENT Melbourne,,,
EFFECTIVE DATE 04FEB,,,
08 FEB VISA PURCHASE 05/02/19,5.99,,48.61
PAYPAL *SPOTIFY 353143690,,,
EFFECTIVE DATE 07FEB,,,
13 FEB CEA RESEARCH & D,,"1,598.62","1,647.23"
JD1,,,
16 FEB INTERNET WITHDRAWAL 16FEB 07:44,"1,511.33",,135.90
Savings,,,
16 FEB VISA PURCHASE 15/02/19,35.90,,100.00
DBS*Anytime Fitness Fyshwick,,,
EFFECTIVE DATE 15FEB,,,
19 FEB VISA PURCHASE 17/02/19,34.50,,65.50
PAYPAL *CRUST PIZZA 402935773,,,
EFFECTIVE DATE 18FEB,,,
22 FEB VISA PURCHASE 20/02/19,14.99,,50.51
PAYPAL *GOOGLE YOUTU 402935773,,,
EFFECTIVE DATE 21FEB,,,
23 FEB VISA PURCHASE 21/02/19,2.49,,48.02
PAYPAL *GOOGLE GOOGL 402935773,,,
EFFECTIVE DATE 22FEB,,,
23 FEB VISA PURCHASE 21/02/19,14.29,,33.73
PAYPAL *ADOBESYSTEM 402935773,,,
EFFECTIVE DATE 22FEB,,,
26 FEB DEARING JACKSON,,10.00,43.73
Phone bill,,,
27 FEB CEA RESEARCH & D,,"1,701.50","1,745.23"
Transaction Details continued,,,
Date Transaction Description,Debit,Credit,Balance $
SUB TOTAL CARRIED FORWARD FROM PREVIOUS PAGE,,,"1,745.23"
02 MAR VISA PURCHASE 01/03/19,35.90,,"1,709.33"
DBS*Anytime Fitness Civic,,,
EFFECTIVE DATE 01MAR,,,
02 MAR VISA PURCHASE 28/02/19,51.64,,"1,657.69"
PAYPAL *CHEMISTWH 402935773,,,
EFFECTIVE DATE 01MAR,,,
02 MAR VISA PURCHASE 28/02/19,59.94,,"1,597.75"
PAYPAL *CATCHOFTHED 402935773,,,
EFFECTIVE DATE 01MAR,,,
06 MAR CASH DEPOSIT,,185.00,"1,782.75"
08 MAR VISA PURCHASE 05/03/19,5.99,,"1,776.76"
Transaction Type,Total Trans,Free,Charged,Rate $,Total $
Phone Banking,0,0,0,0.00,0.00
Internet/Business Banking Online,4,4,0,0.00,0.00
EFTPOS,5,5,0,0.00,0.00
Cheque,0,0,0,0.00,0.00
Over The Counter,0,0,0,0.00,0.00
St.George/BankSA/BankMelbourne ATM,0,0,0,0.00,0.00
Bank@Post,0,0,0,0.00,0.00
Agency,0,0,0,0.00,0.00
Direct Debits,0,0,0,0.00,0.00
Overseas Cash Withdrawal,0,0,0,5.00,0.00
VISA Debit,59,59,0,0.00,0.00
St.George/BankSA/BankMelb ATM Mini Trans. History,0,0,0,0.20,0.00
Periodical Payments,0,0,0,4.00,0.00
Account Service Fee,,,,,0.00
SUB TOTAL,68,68,0,,0.00
FEE REBATE,,,,,0.00
TOTALS,68,68,0,,0.00
SUB TOTAL,67,67,0,0.00
FEE REBATE,,,,0.00
SUB TOTAL,62,62,0,0.00
FEE REBATE,,,,0.00
SUB TOTAL,70,70,0,0.00
FEE REBATE,,,,0.00
SUB TOTAL,15,15,0,0.00
FEE REBATE,,,,0.00
SUB TOTAL,11,11,0,0.00
FEE REBATE,,,,0.00
