Date,Description,Debit,Credit,Balance
15/05/2018,Visa Purchase                 12May Black Bull Hotel Pty Adelaide,12.80,,766.24,
15/05/2018,Visa Purchase                 14May Trybooking Aufc      Online Pu,70.30,,695.94,
16/05/2018,Visa Purchase                 15May Whetlam Pty Ltd      Adelaide,3.50,,692.44,
17/05/2018,Visa Purchase                 16May Whetlam Pty Ltd      Adelaide,3.00,,689.44,
17/05/2018,Visa Purchase                 15May Adelaide University  North Ade,4.00,,685.44,
17/05/2018,Visa Purchase                 15May Adelaide University  North Ade,8.00,,677.44,
18/05/2018,Visa Purchase                 17May City Of Adelaide     Adelaide,4.00,,673.44,
18/05/2018,Visa Purchase                 17May Whetlam Pty Ltd      Adelaide,4.50,,668.94,
18/05/2018,Visa Purchase                 15May Paypal *Optus Prepa  402935773,30.00,,638.94,
19/05/2018,Visa Purchase                 16May Queens Head Hotel    North Ade,32.70,,606.24,
21/05/2018,Black Bull Hotel Black Bull Pay,,332.05,938.29,
22/05/2018,Visa Purchase                 21May Whetlam Pty Ltd      Adelaide,3.00,,935.29,
22/05/2018,Visa Purchase                 18May Whetlam Pty Ltd      Adelaide,3.50,,931.79,
22/05/2018,Visa Purchase                 19May Coles 0429           Welland,9.00,,922.79,
22/05/2018,Visa Purchase                 18May Adelaide University  North Ade,10.00,,912.79,
22/05/2018,Visa Purchase                 20May Zambrero Sa Pty Ltd  Adelaide,11.90,,900.89,
22/05/2018,Visa Purchase                 19May Adelaide University  North Ade,13.50,,887.39,
22/05/2018,Visa Purchase                 18May Adelaide Oval Sma Lt Nth Adela,20.40,,866.99,
22/05/2018,Visa Purchase                 18May Adelaide Oval Sma Lt Nth Adela,20.40,,846.59,
23/05/2018,Eftpos Purchase               23May20:44 Coles 4964            Adelaide        Au,44.57,,802.02,
23/05/2018,Visa Purchase                 22May Whetlam Pty Ltd      Adelaide,3.50,,798.52,
23/05/2018,Visa Purchase                 22May Taste Baguette       Adelaide,7.30,,791.22,
23/05/2018,Visa Purchase                 20May Paypal *Adobesystem  402935773,14.29,,776.93,
24/05/2018,Visa Purchase                 22May Grass Roots At Adel  Adelaide,3.50,,773.43,
25/05/2018,Eftpos Purchase               24May22:22 Bpampm Westlakes 77\West Lakes        Au,50.01,,723.42,
25/05/2018,Atm Deposit                   25May09:34 Banksa                Adelaide     5  Au,,800.00,1523.42,
25/05/2018,Eftpos Purchase               25May12:07 The Sports Hub        Adelaide Uni Sa Au,210.00,,1313.42,
25/05/2018,Eftpos Purchase               25May15:19 Just Guys Sa P/L      Exeter       Sa Au,28.00,,1285.42,
25/05/2018,Visa Purchase                 24May Whetlam Pty Ltd      Adelaide,3.10,,1282.32,
25/05/2018,Visa Purchase                 24May Whetlam Pty Ltd      Adelaide,3.50,,1278.82,
25/05/2018,Visa Purchase                 23May Adelaide Metro       Adelaide,15.00,,1263.82,
26/05/2018,Visa Purchase                 24May Whetlam Pty Ltd      Adelaide,3.50,,1260.32,
26/05/2018,Visa Purchase                 25May Whetlam Pty Ltd      Adelaide,3.50,,1256.82,
28/05/2018,Eftpos Purchase               27May05:01 Zambrero Sa Pty Ltd   Adelaide        Au,23.80,,1233.02,
28/05/2018,Black Bull Hotel Black Bull Pay,,323.51,1556.53,
30/05/2018,Internet Withdrawal           30May18:21 J Dearing Pride Jumper,45.00,,1511.53,
30/05/2018,Visa Purchase                 28May Whetlam Pty Ltd      Adelaide,3.00,,1508.53,
30/05/2018,Visa Purchase                 29May Gawler Heritage Cafe Sa Sa,8.40,,1500.13,
31/05/2018,Visa Purchase                 29May Whetlam Pty Ltd      Adelaide,3.50,,1496.63,
01/06/2018,Visa Purchase                 30May Adelaide Metro       Adelaide,15.00,,1481.63,
01/06/2018,Visa Purchase                 30May Adelaide Uni Sports  Adelaide,400.00,,1081.63,
02/06/2018,Visa Purchase                 01Jun Whetlam Pty Ltd      Adelaide,3.50,,1078.13,
02/06/2018,Visa Purchase                 01Jun Taste Baguette       Adelaide,3.50,,1074.63,
04/06/2018,Internet Deposit              04Jun12:27 Over Payment,,2500.00,3574.63,
04/06/2018,Internet Withdrawal           04Jun12:29 224660 Invoice,2539.68,,1034.95,
04/06/2018,Black Bull Hotel Black Bull Pay,,332.24,1367.19,
05/06/2018,Visa Purchase                 01Jun The Sports Hub       Adelaide,6.50,,1360.69,
05/06/2018,Visa Purchase                 02Jun Black Bull Hotel Pty Adelaide,12.80,,1347.89,
06/06/2018,Visa Purchase                 04Jun Paypal *Optus Prepa  402935773,30.00,,1317.89,
07/06/2018,Ctrlink Yth All 7E1A9665503632098A,,312.21,1630.10,
07/06/2018,Visa Purchase                 04Jun Ticketmaster Com     Melbourne,216.95,,1413.15,
08/06/2018,Eftpos Purchase               08Jun16:27 Coles 0455            West Lakes      Au,4.99,,1408.16,
08/06/2018,Eftpos Purchase               08Jun16:30 West Lakes Yoghurt    West Lakes      Au,5.20,,1402.96,
08/06/2018,Atm Withdrawal                08Jun16:40 Banksa                West Lakes Sa5  Au,50.00,,1352.96,
11/06/2018,Internet Withdrawal           10Jun15:08 Dad Birthday,50.00,,1302.96,
12/06/2018,Black Bull Hotel Black Bull Pay,,283.22,1586.18,
12/06/2018,Visa Purchase                 08Jun Bp Westport 9285     West Croy,4.19,,1581.99,
12/06/2018,Visa Purchase                 09Jun Almasri Brothers Pty Adelaide,7.10,,1574.89,
12/06/2018,Visa Purchase                 09Jun Zambrero Sa Pty Ltd  Adelaide,11.90,,1562.99,
12/06/2018,Visa Purchase                 08Jun Bp Wayville 0092     Wayville,17.77,,1545.22,
12/06/2018,Visa Purchase                 08Jun Austral Hotel        Adelaide,19.00,,1526.22,
12/06/2018,Visa Purchase                 09Jun Electric Circus      Adelaide,30.45,,1495.77,
15/06/2018,Visa Purchase                 13Jun Taste Baguette       Adelaide,3.50,,1492.27,
16/06/2018,Visa Purchase                 09Jun Adelaide Metro       Adelaide,15.00,,1477.27,
18/06/2018,Visa Purchase                 14Jun Queens Head Hotel    North Ade,16.00,,1461.27,
19/06/2018,Ctrlink Yth All 7E1A9969503632098A,,298.20,1759.47,
19/06/2018,Visa Purchase                 16Jun Goodwood Saints Foot Millswood,2.00,,1757.47,
19/06/2018,Visa Purchase                 16Jun Goodwood Saints Foot Millswood,4.50,,1752.97,
19/06/2018,Visa Purchase                 17Jun Dulwich Bakery       Dulwich,4.80,,1748.17,
22/06/2018,Visa Purchase                 21Jun The General          Adelaide,3.04,,1745.13,
22/06/2018,Visa Purchase                 21Jun Taste Baguette       Adelaide,8.00,,1737.13,
22/06/2018,Visa Purchase                 21Jun City Of Adelaide     Adelaide,13.00,,1724.13,
22/06/2018,Visa Purchase                 21Jun Nelson Teamwear      Unley,125.00,,1599.13,
23/06/2018,Visa Purchase                 20Jun Queens Head Hotel    North Ade,8.70,,1590.43,
23/06/2018,Visa Purchase                 20Jun Paypal *Adobesystem  402935773,14.29,,1576.14,
23/06/2018,Visa Purchase                 21Jun Paypal *Optus Prepa  402935773,30.00,,1546.14,
26/06/2018,Visa Purchase                 23Jun Peters Maylands Pl   North Ade,16.00,,1530.14,
27/06/2018,Atm Withdrawal                27Jun16:18 Banksa                West Lakes Sa5  Au,50.00,,1480.14,
28/06/2018,Visa Purchase                 26Jun Obrien Group Austral Wayville,4.60,,1475.54,
29/06/2018,Eftpos Purchase               29Jun18:20 Nxt Level Fit Hub Pty West Lakes   Sa Au,100.00,,1375.54,
29/06/2018,Visa Purchase                 26Jun Wayville Foodland    Wayville,6.59,,1368.95,
29/06/2018,Visa Purchase                 27Jun Gfource Pty Ltd      Welland,7.95,,1361.00,
30/06/2018,Visa Purchase                 28Jun Obrien Group Austral Wayville,4.60,,1356.40,
02/07/2018,Eftpos Purchase               01Jul15:42 Jb Hi Fi Westlakes    West Lakes      Au,94.50,,1261.90,
02/07/2018,Eftpos Purchase               02Jul10:50 Just Guys Sa P/L      Exeter       Sa Au,28.00,,1233.90,
02/07/2018,Visa Purchase                 28Jun Queens Head Hotel    North Ade,16.00,,1217.90,
03/07/2018,Ctrlink Yth All 7E1A0350503632098A,,298.20,1516.10,
03/07/2018,Visa Purchase                 01Jul Bj West Lakes Pty Lt West Lake,7.00,,1509.10,
05/07/2018,Visa Purchase                 02Jul X Convenience Semaph Exeter,48.82,,1460.28,
05/07/2018,Visa Purchase                 03Jul Paypal *Angusrobert  402935773,65.70,,1394.58,
07/07/2018,Visa Purchase                 06Jul Uni Adel C/O Tenix   Melbourne,50.00,,1344.58,
09/07/2018,Black Bull Hotel Black Bull Pay,,160.48,1505.06,
10/07/2018,Visa Purchase                 07Jul Black Bull Hotel Pty Adelaide,3.00,,1502.06,
10/07/2018,Visa Purchase                 07Jul Black Bull Hotel Pty Adelaide,10.00,,1492.06,
10/07/2018,Visa Purchase                 07Jul Black Bull Hotel Pty Adelaide,10.00,,1482.06,
10/07/2018,Visa Purchase                 06Jul Subway Hindley Stree Adelaide,13.10,,1468.96,
10/07/2018,Visa Purchase                 07Jul Black Bull Hotel Pty Adelaide,30.00,,1438.96,
13/07/2018,Ato Ato002000009674135,,1398.82,2837.78,
13/07/2018,Eftpos Purchase               13Jul15:50 Woolworths      5623  West Lakes   Sa Au,24.00,,2813.78,
14/07/2018,Visa Purchase                 12Jul Adelaide University  North Ade,2.00,,2811.78,
16/07/2018,Eftpos Purchase               15Jul01:26 Independent 132211 \   Adelaide  Sa   Au,41.36,,2770.42,
16/07/2018,Eftpos Purchase               15Jul11:37 Cucina North Adelaid  North Adelai    Au,10.00,,2760.42,
16/07/2018,Eftpos Purchase               15Jul12:57 Rebel Rundle Mall     Adelaide        Au,110.99,,2649.43,
16/07/2018,Eftpos Purchase               15Jul13:06 Tea House Yumcha      Adelaide        Au,14.60,,2634.83,
16/07/2018,Black Bull Hotel Black Bull Pay,,107.72,2742.55,
17/07/2018,Visa Purchase                 15Jul Wilson Parking A040  Adelaide,6.05,,2736.50,
17/07/2018,Visa Purchase                 15Jul Dulwich Bakery       Dulwich,8.40,,2728.10,
17/07/2018,Visa Purchase                 15Jul Zambrero Sa Pty Ltd  Adelaide,11.90,,2716.20,
17/07/2018,Visa Purchase                 15Jul Jive Productions     Adelaide,16.00,,2700.20,
17/07/2018,Visa Purchase                 14Jul Queens Head Hotel    North Ade,16.00,,2684.20,
17/07/2018,Visa Purchase                 14Jul Queens Head Hotel    North Ade,17.00,,2667.20,
17/07/2018,Visa Purchase                 14Jul Queens Head Hotel    North Ade,17.00,,2650.20,
17/07/2018,Visa Purchase                 14Jul Queens Head Hotel    North Ade,17.40,,2632.80,
17/07/2018,Visa Purchase                 14Jul Queens Head Hotel    North Ade,17.40,,2615.40,
17/07/2018,Visa Purchase                 14Jul Cumberland Arms Hote Adelaide,18.00,,2597.40,
17/07/2018,Visa Purchase                 15Jul Reading Westlakes    West Lake,30.00,,2567.40,
19/07/2018,Ctrlink Yth All 7E1A0806503632098A,,298.20,2865.60,
20/07/2018,Visa Purchase                 19Jul Semaphore Bakehouse  Semaphore,3.00,,2862.60,
20/07/2018,Visa Purchase                 18Jul Paypal *Uber Au      402935773,21.90,,2840.70,
21/07/2018,Eftpos Purchase               21Jul11:27 Kmart 1021            West Lakes      Au,14.00,,2826.70,
21/07/2018,Eftpos Purchase               21Jul11:53 Target 5394           West Lakes      Au,12.00,,2814.70,
21/07/2018,Visa Purchase                 19Jul Adelaide University  North Ade,4.00,,2810.70,
21/07/2018,Visa Purchase                 18Jul Queens Head Hotel    North Ade,8.70,,2802.00,
21/07/2018,Visa Purchase                 19Jul Zambrero Semaphore   Semaphore,11.90,,2790.10,
21/07/2018,Visa Purchase                 18Jul Queens Head Hotel    North Ade,32.70,,2757.40,
23/07/2018,Eftpos Purchase               22Jul01:00 Spotto Sa          \   Adelaide       Au,41.99,,2715.41,
23/07/2018,Eftpos Purchase               22Jul16:38 Jb Hi Fi Westlakes    West Lakes      Au,179.00,,2536.41,
23/07/2018,Eftpos Purchase               22Jul17:17 Ww Petrol       5537  West Lakes   Sa Au,49.21,,2487.20,
23/07/2018,Eftpos Purchase               23Jul10:40 The General           Adelaide     Sa Au,3.00,,2484.20,
23/07/2018,Black Bull Hotel Black Bull Pay,,148.94,2633.14,
24/07/2018,Visa Purchase                 23Jul Whetlam Pty Ltd      Adelaide,3.50,,2629.64,
24/07/2018,Visa Purchase                 22Jul Amazon Australia Ser Melbourne,3.99,,2625.65,
24/07/2018,Visa Purchase                 20Jul Black Bull Hotel Pty Adelaide,12.80,,2612.85,
24/07/2018,Visa Purchase                 20Jul Paypal *Adobesystem  402935773,14.29,,2598.56,
25/07/2018,Eftpos Purchase               25Jul18:29 Grilld Pty Ltd        Adelaide     Sa Au,28.50,,2570.06,
25/07/2018,Visa Purchase                 24Jul Taste Baguette       Adelaide,8.00,,2562.06,
25/07/2018,Visa Purchase                 24Jul Vodafone             North Syd,35.99,,2526.07,
26/07/2018,Visa Purchase                 25Jul Whetlam Pty Ltd      Adelaide,3.50,,2522.57,
26/07/2018,Visa Purchase                 24Jul Amazon Australia Ser Melbourne,28.40,,2494.17,
30/07/2018,Black Bull Hotel Black Bull Pay,,193.01,2687.18,
30/07/2018,Visa Purchase                 26Jul Queens Head Hotel    North Ade,16.00,,2671.18,
31/07/2018,Visa Purchase                 27Jul Subway Hindley Stree Adelaide,13.10,,2658.08,
01/08/2018,Ctrlink Yth All 7E1A1148503632098A,,298.20,2956.28,
01/08/2018,Eftpos Purchase               01Aug15:17 Woolworths      5623  West Lakes   Sa Au,56.00,,2900.28,
01/08/2018,Eftpos Purchase               01Aug15:29 Ktas 1021             West Lakes      Au,198.00,,2702.28,
01/08/2018,Visa Purchase                 30Jul Adelaide Metro       Adelaide,15.00,,2687.28,
02/08/2018,Visa Purchase                 31Jul Whetlam Pty Ltd      Adelaide,3.00,,2684.28,
03/08/2018,Internet Withdrawal           03Aug14:25 Indig. Guernsey,50.00,,2634.28,
03/08/2018,Visa Purchase                 01Aug Whetlam Pty Ltd      Adelaide,5.00,,2629.28,
04/08/2018,Visa Purchase                 02Aug Whetlam Pty Ltd      Adelaide,3.00,,2626.28,
06/08/2018,Black Bull Hotel Black Bull Pay,,135.20,2761.48,
06/08/2018,Visa Purchase                 02Aug Queens Head Hotel    North Ade,16.00,,2745.48,
07/08/2018,Internet Deposit              07Aug08:31 Brian Daily Prize Money,,250.15,2995.63,
07/08/2018,Visa Purchase                 03Aug Subway Hindley Stree Adelaide,13.10,,2982.53,
07/08/2018,Visa Purchase                 04Aug San Churro West Lake West Lake,14.95,,2967.58,
07/08/2018,Visa Purchase                 05Aug Rebel West Lakes     West Lake,24.99,,2942.59,
07/08/2018,Visa Purchase                 04Aug Just Guys Sa P/L     Exeter,30.00,,2912.59,
08/08/2018,Eftpos Purchase               08Aug17:15 Woolworths      5317  Rundle Mall  Sa Au,17.30,,2895.29,
08/08/2018,Visa Purchase                 06Aug Taste Baguette       Adelaide,4.00,,2891.29,
08/08/2018,Visa Purchase                 06Aug The Sports Hub       Adelaide,5.00,,2886.29,
09/08/2018,Eftpos Purchase               09Aug14:15 The General           Adelaide     Sa Au,4.50,,2881.79,
09/08/2018,Visa Purchase                 08Aug Whetlam Pty Ltd      Adelaide,3.00,,2878.79,
10/08/2018,Visa Purchase                 08Aug Whetlam Pty Ltd      Adelaide,2.00,,2876.79,
11/08/2018,Visa Purchase                 09Aug Grass Roots At Adel  Adelaide,7.50,,2869.29,
11/08/2018,Visa Purchase                 09Aug Adelaide Metro       Adelaide,15.00,,2854.29,
13/08/2018,Black Bull Hotel Black Bull Pay,,171.69,3025.98,
14/08/2018,Visa Purchase                 11Aug Adelaide University  North Ade,2.00,,3023.98,
14/08/2018,Visa Purchase                 12Aug Taste Baguette       Adelaide,3.50,,3020.48,
14/08/2018,Visa Purchase                 12Aug Amazon Australia Ser Melbourne,3.99,,3016.49,
14/08/2018,Visa Purchase                 11Aug Adelaide University  North Ade,4.00,,3012.49,
14/08/2018,Visa Purchase                 12Aug Tillman Group Pty Lt Torrensvi,5.00,,3007.49,
14/08/2018,Visa Purchase                 11Aug Adelaide University  North Ade,5.00,,3002.49,
14/08/2018,Visa Purchase                 12Aug Whetlam Pty Ltd      Adelaide,9.00,,2993.49,
14/08/2018,Visa Purchase                 11Aug Suburban Taxi 131008 Kilburn,12.45,,2981.04,
15/08/2018,Ctrlink Yth All 7E1A1528503632098A,,298.20,3279.24,
16/08/2018,The University O 1686411,,321.58,3600.82,
16/08/2018,Visa Purchase                 14Aug Taste Baguette       Adelaide,4.50,,3596.32,
17/08/2018,Visa Purchase                 15Aug Whetlam Pty Ltd      Adelaide,3.00,,3593.32,
17/08/2018,Visa Purchase                 15Aug Taste Baguette       Adelaide,4.50,,3588.82,
20/08/2018,Black Bull Hotel Black Bull Pay,,128.33,3717.15,
21/08/2018,Visa Purchase                 17Aug Whetlam Pty Ltd      Adelaide,3.00,,3714.15,
21/08/2018,Visa Purchase                 17Aug Subway Hindley Stree Adelaide,13.10,,3701.05,
21/08/2018,Visa Purchase                 17Aug Adelaide Metro       Adelaide,15.00,,3686.05,
21/08/2018,Visa Purchase                 18Aug Queens Head Hotel    North Ade,16.00,,3670.05,
21/08/2018,Visa Purchase                 20Aug Digitaletext         Rotherham,21.99,,3648.06,
23/08/2018,Visa Purchase                 21Aug Whetlam Pty Ltd      Adelaide,2.00,,3646.06,
23/08/2018,Visa Purchase                 20Aug Asa Cafe Pty Ltd     Adelaide,3.50,,3642.56,
23/08/2018,Visa Purchase                 20Aug Asa Cafe Pty Ltd     Adelaide,7.00,,3635.56,
23/08/2018,Visa Purchase                 21Aug Paypal *Adobesystem  402935773,14.29,,3621.27,
23/08/2018,Visa Purchase                 21Aug Google*Nigel Crasto  G.Co Help,21.99,,3599.28,
24/08/2018,Visa Purchase                 22Aug Taste Baguette       Adelaide,6.00,,3593.28,
25/08/2018,Visa Purchase                 23Aug Whetlam Pty Ltd      Adelaide,3.50,,3589.78,
27/08/2018,Internet Withdrawal           27Aug11:10 Pipes,10.00,,3579.78,
27/08/2018,Black Bull Hotel Black Bull Pay,,170.26,3750.04,
27/08/2018,Visa Purchase                 24Aug Whetlam Pty Ltd      Adelaide,3.50,,3746.54,
27/08/2018,Visa Purchase                 24Aug Vodafone             North Syd,36.14,,3710.40,
28/08/2018,Ctrlink Yth All 7E1A1870503632098A,,298.20,4008.60,
28/08/2018,Visa Purchase                 25Aug Olacabs              Melbourne,5.95,,4002.65,
28/08/2018,Visa Purchase                 24Aug Taste Baguette       Adelaide,7.50,,3995.15,
28/08/2018,Visa Purchase                 25Aug Adelaide University  North Ade,8.00,,3987.15,
28/08/2018,Visa Purchase                 24Aug Taste Baguette       Adelaide,8.50,,3978.65,
28/08/2018,Visa Purchase                 26Aug Main Line Drive In   Gepps Cro,17.00,,3961.65,
28/08/2018,Visa Purchase                 25Aug Otr Welland 7233     Welland,19.20,,3942.45,
28/08/2018,Visa Purchase                 25Aug Dan Murphy's    5722 Welland,22.99,,3919.46,
28/08/2018,Visa Purchase                 25Aug Zambrero Sa Pty Ltd  Adelaide,23.80,,3895.66,
28/08/2018,Visa Purchase                 25Aug Cumberland Arms Hote Adelaide,36.00,,3859.66,
28/08/2018,Visa Purchase                 26Aug Bpampm Westlakes 776 West Lake,42.47,,3817.19,
30/08/2018,The University O 1686411,,413.46,4230.65,
30/08/2018,Visa Purchase                 28Aug Whetlam Pty Ltd      Adelaide,3.00,,4227.65,
30/08/2018,Visa Purchase                 28Aug Cycle Worx           Woodville,8.95,,4218.70,
31/08/2018,Visa Purchase                 30Aug The Sports Hub       Adelaide,3.60,,4215.10,
31/08/2018,Visa Purchase                 29Aug Taste Baguette       Adelaide,8.60,,4206.50,
31/08/2018,Visa Purchase                 29Aug Adelaide Metro       Adelaide,15.00,,4191.50,
01/09/2018,Visa Purchase                 31Aug The General          Adelaide,3.04,,4188.46,
01/09/2018,Visa Purchase                 30Aug Myer  Adelaide City  Adelaide,30.00,,4158.46,
01/09/2018,Visa Purchase                 30Aug Sq *Laneway Espresso Adelaide,38.00,,4120.46,
03/09/2018,Internet Withdrawal           01Sep23:57 Pancakes,15.50,,4104.96,
03/09/2018,Internet Withdrawal           03Sep01:23 Mum And Dad Pres,70.00,,4034.96,
03/09/2018,Black Bull Hotel Black Bull Pay,,365.41,4400.37,
03/09/2018,Visa Purchase                 31Aug Olacabs              Melbourne,18.29,,4382.08,
04/09/2018,Visa Purchase                 01Sep Almasri Brothers Pty Adelaide,5.50,,4376.58,
04/09/2018,Visa Purchase                 01Sep Sa Amateur Football  Torrensvi,7.00,,4369.58,
04/09/2018,Visa Purchase                 01Sep Sa Amateur Football  Torrensvi,7.00,,4362.58,
04/09/2018,Visa Purchase                 31Aug Taste Baguette       Adelaide,7.20,,4355.38,
04/09/2018,Visa Purchase                 01Sep Zambrero Sa Pty Ltd  Adelaide,11.90,,4343.48,
04/09/2018,Visa Purchase                 03Sep Nutrition Zone Wa    Nedlands,133.80,,4209.68,
05/09/2018,Visa Purchase                 03Sep University Of Adelai Adleiade,20.00,,4189.68,
06/09/2018,Visa Purchase                 05Sep Whetlam Pty Ltd      Adelaide,3.50,,4186.18,
06/09/2018,Visa Purchase                 04Sep The General          Adelaide,11.13,,4175.05,
07/09/2018,Eftpos Purchase               07Sep09:40 Whetlam Pty Ltd       Adelaide Uni    Au,3.50,,4171.55,
07/09/2018,Eftpos Purchase               07Sep13:13 R.T.B.C. Pty Ltd      Adelaide        Au,11.95,,4159.60,
07/09/2018,Eftpos Purchase               07Sep13:28 Aka Japanese Cuisin\Adelaide          Au,6.00,,4153.60,
07/09/2018,Visa Purchase                 05Sep Taste Baguette       Adelaide,7.20,,4146.40,
07/09/2018,Visa Purchase                 05Sep Taste Baguette       Adelaide,7.70,,4138.70,
08/09/2018,Visa Purchase                 06Sep Whetlam Pty Ltd      Adelaide,3.50,,4135.20,
08/09/2018,Visa Purchase                 05Sep Paypal *Spotify      353143690,5.99,,4129.21,
10/09/2018,"Internet Withdrawal           10Sep12:40 First Week Deposit",230.00,,3899.21,
10/09/2018,Black Bull Hotel Black Bull Pay,,139.87,4039.08,
10/09/2018,Visa Purchase                 07Sep 3 Rundle Mall Pty Lt Adelaide,2.00,,4037.08,
10/09/2018,Visa Purchase                 07Sep Almasri Brothers Pty Adelaide,5.50,,4031.58,
10/09/2018,Visa Purchase                 07Sep Adelaide Metro       Adelaide,15.00,,4016.58,
11/09/2018,Ctrlink Yth All 7E1A2250503632098A,,153.00,4169.58,
11/09/2018,Visa Purchase                 09Sep Trybooking Aufc      Online Pu,95.30,,4074.28,
12/09/2018,Visa Purchase                 11Sep Chemist Warehouse    Adelaide,5.40,,4068.88,
12/09/2018,Visa Purchase                 11Sep The General          Adelaide,7.08,,4061.80,
13/09/2018,The University O 1686411,,413.46,4475.26,
13/09/2018,Visa Purchase                 11Sep David Jones Limited  Adelaide,35.00,,4440.26,
14/09/2018,Visa Purchase                 12Sep Whetlam Pty Ltd      Adelaide,3.00,,4437.26,
14/09/2018,Visa Purchase                 12Sep Whetlam Pty Ltd      Adelaide,3.50,,4433.76,
14/09/2018,Visa Purchase                 12Sep Taste Baguette       Adelaide,5.50,,4428.26,
17/09/2018,Visa Credit                   14Sep Olacabs              Melbourne,,8.09,4436.35,
17/09/2018,Black Bull Hotel Black Bull Pay,,195.54,4631.89,
17/09/2018,Visa Purchase                 14Sep Whetlam Pty Ltd      Adelaide,3.00,,4628.89,
17/09/2018,Visa Purchase                 14Sep Olacabs              Melbourne,8.09,,4620.80,
17/09/2018,Visa Purchase                 14Sep Adelaide Metro       Adelaide,15.00,,4605.80,
17/09/2018,Visa Purchase                 14Sep Olacabs              Melbourne,18.19,,4587.61,
17/09/2018,Visa Purchase                 15Sep Officeworks 0512     Adelaide,45.01,,4542.60,
18/09/2018,Visa Purchase                 15Sep Almasri Brothers Pty Adelaide,5.50,,4537.10,
18/09/2018,Visa Purchase                 15Sep Boost Juice Rundle M Adelaide,7.70,,4529.40,
18/09/2018,Visa Purchase                 14Sep Subway Hindley Stree Adelaide,10.90,,4518.50,
18/09/2018,Visa Purchase                 16Sep The Lion Hotel       North Ade,12.00,,4506.50,
18/09/2018,Visa Purchase                 16Sep The Lion Hotel       North Ade,12.00,,4494.50,
18/09/2018,Visa Purchase                 16Sep The Lion Hotel       North Ade,24.00,,4470.50,
18/09/2018,Visa Purchase                 16Sep Olacabs              Melbourne,28.06,,4442.44,
18/09/2018,Visa Purchase                 15Sep Jay Jays 381         Adelaide,62.45,,4379.99,
18/09/2018,Visa Purchase                 15Sep Dymocks Adelaide     Adelaide,75.95,,4304.04,
19/09/2018,Visa Purchase                 16Sep Queens Head Hotel    North Ade,6.00,,4298.04,
19/09/2018,Visa Purchase                 16Sep Subway Westlakes     West Lake,10.90,,4287.14,
19/09/2018,Visa Purchase                 16Sep Queens Head Hotel    North Ade,12.00,,4275.14,
19/09/2018,Visa Purchase                 16Sep Queens Head Hotel    North Ade,16.00,,4259.14,
19/09/2018,Visa Purchase                 16Sep Queens Head Hotel    North Ade,30.00,,4229.14,
20/09/2018,Eftpos Purchase               20Sep16:56 Pltps Shs Rdle Mal \Adelaide          Au,130.00,,4099.14,
21/09/2018,Visa Purchase                 20Sep Just Guys Sa P/L     Exeter,30.00,,4069.14,
22/09/2018,Visa Purchase                 20Sep Big Table            Adelaide,4.00,,4065.14,
22/09/2018,Visa Purchase                 20Sep Enjoy Bkry Cafe On P Adelaide,5.00,,4060.14,
24/09/2018,Black Bull Hotel Black Bull Pay,,184.00,4244.14,
24/09/2018,Visa Purchase                 21Sep Paypal *Adobesystem  402935773,14.29,,4229.85,
25/09/2018,Ctrlink Yth All 7E1A2630503632098A,,74.42,4304.27,
25/09/2018,Visa Purchase                 21Sep Subway Hindley Stree Adelaide,10.90,,4293.37,
25/09/2018,Visa Purchase                 22Sep Paypal *Uber Au      402935773,33.75,,4259.62,
25/09/2018,Visa Purchase                 24Sep Vodafone             North Syd,36.14,,4223.48,
26/09/2018,Visa Purchase                 25Sep Mogas Kersbrook      Kersbrook,65.85,,4157.63,
27/09/2018,Visa Purchase                 25Sep Goolwa Foodland Supe Goolwa,17.43,,4140.20,
27/09/2018,Visa Purchase                 26Sep Woolworths      5668 Goolwa,23.30,,4116.90,
27/09/2018,Visa Purchase                 26Sep Woolworths      5668 Goolwa,46.40,,4070.50,
28/09/2018,"Internet Withdrawal           28Sep09:15 Wine Tour Pipes",100.00,,3970.50,
28/09/2018,Eftpos Purchase               28Sep14:42 Jb Hi Fi Adelaide Ci  Adelaide        Au,465.00,,3505.50,
29/09/2018,Visa Purchase                 28Sep The General          Adelaide,2.02,,3503.48,
29/09/2018,Visa Purchase                 27Sep Lobethal Bakery      Lobethal,8.10,,3495.38,
01/10/2018,Visa Purchase                 29Sep Liquorland 3027      West Lake,43.00,,3452.38,
02/10/2018,Visa Purchase                 29Sep Olacabs              Melbourne,8.09,,3444.29,
02/10/2018,Visa Purchase                 29Sep Cumberland Arms Hote Adelaide,18.00,,3426.29,
02/10/2018,Visa Purchase                 29Sep Munno Para Foodland  Smithfiel,18.03,,3408.26,
02/10/2018,Visa Purchase                 30Sep Coles Express 1920   Salisbury,22.45,,3385.81,
02/10/2018,Visa Purchase                 30Sep Taxi Epay Australia  West Melb,26.17,,3359.64,
02/10/2018,Visa Purchase                 29Sep Olacabs              Melbourne,28.65,,3330.99,
03/10/2018,Visa Purchase                 02Oct The General          Adelaide,4.05,,3326.94,
05/10/2018,Eftpos Refund                 05Oct12:52 Jb Hi Fi Adelaide Ci  Adelaide        Au,,465.00,3791.94,
05/10/2018,Visa Purchase                 03Oct Taste Baguette       Adelaide,8.00,,3783.94,
05/10/2018,Visa Purchase                 03Oct Adelaide Metro       Adelaide,15.00,,3768.94,
